order_hour,accept_rate,count
0,0.37189189189189187,925
1,0.40313111545988256,511
2,0.43859649122807015,342
3,0.375,192
4,0.4805194805194805,154
5,0.494949494949495,198
6,0.39855818743563337,971
7,0.39190491487311274,3113
8,0.34380570409982175,4488
9,0.3238822246455834,3668
10,0.34354243542435425,2710
11,0.32465007776049765,2572
12,0.32550077041602465,2596
13,0.36998809051210796,2519
14,0.3583579881656805,2704
15,0.36220183486238533,2725
16,0.36393123580927667,3083
17,0.3607068607068607,2886
18,0.3511740331491713,2896
19,0.3490673772363913,2627
20,0.35311203319502077,2410
21,0.34667802385008517,2348
22,0.34717784877529284,1878
23,0.35377358490566035,1484
