feature,importance
bid_uplift_pct,0.49982940401676573
lag_tender_seconds,0.17872895502329633
distance_in_meters,0.0931413939494669
order_hour,0.034924872518461
duration_in_seconds,0.027738336821876375
price_bid_local,0.025048849564549724
bid_uplift_abs,0.017554339748252584
driver_tenure_days,0.016700642224106922
price_start_local,0.01639032235334684
carname_Chevrolet,0.013593129621773503
pickup_in_meters,0.008286091330484809
pickup_in_seconds,0.0072770499931860255
carmodel_Sandero Stepway,0.006367033681488602
centrality_proxy,0.0050684268910037075
carname_Chery,0.004947917527617892
order_dow,0.004791398373284801
carmodel_Tiida,0.004614907139876386
carmodel_M6,0.003672475405789739
carmodel_Vesta,0.0036055402336542673
carname_Renault,0.0031056872517261913
carmodel_RAV4,0.002446275198932657
carmodel_Jolion,0.0022390102674252595
carmodel_Granta,0.0017976886891637373
carmodel_Klan,0.0015168754959765897
carname_ВАЗ (LADA),0.0012310710789402155
carmodel_Legacy,0.00119938417269496
carname_Kia,0.001112992544686291
carmodel_Sandero,0.0010645918794410976
is_weekend,0.001043842968270155
carmodel_Polo,0.0010086134195677805
